<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18/09/15;000000;113.6600000;114.3000000;113.3000000;113.4800000;2338855
21/09/15;000000;113.7300000;115.3700000;113.6700000;115.2200000;3539114
22/09/15;000000;113.3400000;114.1800000;112.5300000;113.3900000;3698048
23/09/15;000000;113.6300000;114.7200000;113.3000000;114.3300000;2819601
24/09/15;000000;113.2500000;115.4950000;112.3800000;115.2350000;3764136
25/09/15;000000;116.3700000;116.6900000;114.0200000;114.8600000;3999543
28/09/15;000000;113.8400000;114.5700000;112.4500000;112.4500000;3455765
29/09/15;000000;112.7300000;113.5100000;107.8600000;109.1900000;5817826
30/09/15;000000;110.3000000;111.5300000;108.7300000;109.9600000;5039263
01/10/15;000000;109.0400000;109.6200000;107.3100000;109.5300000;4133477
02/10/15;000000;108.0400000;111.0100000;107.5500000;110.3200000;4031469
12/10/15;000000;112.7300000;112.7500000;111.4500000;111.5700000;2031601
13/10/15;000000;110.8300000;112.4500000;110.6900000;111.7700000;2236822
14/10/15;000000;111.2800000;111.5000000;109.5600000;110.1900000;3325492
15/10/15;000000;110.9200000;112.1000000;110.5000000;111.8500000;2706729
16/10/15;000000;111.7800000;111.8900000;110.5400000;110.9800000;2614134
19/10/15;000000;110.8300000;111.7400000;110.1150000;111.7350000;2187335
20/10/15;000000;111.3300000;114.1700000;110.8300000;113.7800000;3320437
21/10/15;000000;113.9500000;115.5800000;113.7000000;113.8400000;3021958
22/10/15;000000;114.4100000;115.5000000;114.1100000;115.4450000;3513384
23/10/15;000000;116.7000000;119.2200000;116.3400000;119.1000000;3682865
26/10/15;000000;118.0800000;118.1200000;114.9300000;115.2600000;3618322
27/10/15;000000;115.4500000;116.5300000;113.9900000;114.5800000;3655272
28/10/15;000000;116.9300000;119.2400000;116.0700000;119.1550000;5180860
29/10/15;000000;118.7000000;120.6850000;118.2900000;120.5200000;3627808
30/10/15;000000;120.9600000;121.2200000;119.4700000;119.5000000;3577199
02/11/15;000000;119.8300000;121.3500000;119.6100000;121.1500000;1895005
03/11/15;000000;120.7800000;123.4800000;120.7000000;122.5500000;2426069
04/11/15;000000;123.1000000;123.8000000;121.6200000;121.9700000;2641939
05/11/15;000000;121.9300000;122.6800000;120.1900000;120.9000000;2860787
06/11/15;000000;121.1900000;121.8000000;120.6200000;120.9800000;2266012
09/11/15;000000;120.8200000;121.8100000;120.0600000;120.8300000;2192774
10/11/15;000000;116.9600000;118.0650000;116.0700000;116.5200000;3680215
11/11/15;000000;116.3800000;117.4200000;115.2100000;116.1500000;3192076
12/11/15;000000;116.0800000;116.8200000;115.6600000;115.8000000;1984931
13/11/15;000000;115.1900000;115.5500000;112.2800000;112.2800000;3245227
16/11/15;000000;111.2800000;114.2300000;111.0000000;114.1700000;1796690
17/11/15;000000;114.8700000;115.0400000;113.3200000;113.5500000;1775331
18/11/15;000000;115.7500000;117.4900000;115.7000000;117.2800000;3109706
19/11/15;000000;117.6600000;119.7400000;116.7700000;118.8300000;2315906
20/11/15;000000;119.2600000;119.9200000;118.8550000;119.1900000;1872761
23/11/15;000000;119.3600000;119.7100000;117.3500000;117.7600000;1803171
24/11/15;000000;117.1700000;119.3500000;117.1300000;118.8900000;2720960
25/11/15;000000;119.1500000;119.2200000;117.9200000;118.0500000;1330480
27/11/15;000000;118.2700000;118.4100000;117.6000000;117.8200000;777966
30/11/15;000000;117.8800000;119.4050000;117.8700000;118.3600000;2057529
01/12/15;000000;118.7600000;118.7800000;116.8700000;117.3100000;2033841
02/12/15;000000;117.0500000;118.1100000;116.0800000;116.3000000;1977510
03/12/15;000000;116.5400000;116.7800000;114.2400000;115.0100000;2618320
04/12/15;000000;115.2900000;119.2400000;115.1300000;119.0200000;3500919
07/12/15;000000;118.9600000;119.8600000;117.8300000;118.2600000;2316701
08/12/15;000000;117.4500000;118.5900000;116.8700000;118.2500000;2399420
09/12/15;000000;117.5700000;117.6800000;115.0800000;115.3200000;3437825
10/12/15;000000;116.1900000;116.9400000;115.5100000;116.1800000;1986128
11/12/15;000000;115.0000000;115.3800000;112.8600000;113.0700000;3712296
14/12/15;000000;111.9900000;112.6800000;109.7900000;112.3500000;4763976
15/12/15;000000;112.0300000;112.8000000;110.3500000;110.5150000;3962064
16/12/15;000000;111.1200000;111.9700000;108.8100000;111.3100000;4103586
17/12/15;000000;112.1100000;112.1400000;109.0000000;109.0000000;3017904
18/12/15;000000;108.7200000;109.5200000;105.8100000;105.8600000;4719302
21/12/15;000000;107.2700000;107.3500000;105.5800000;107.3200000;2584084
22/12/15;000000;107.4100000;107.7100000;106.4600000;107.2100000;2041430
23/12/15;000000;107.2600000;108.8450000;107.2600000;108.5200000;1946569
24/12/15;000000;108.9600000;108.9700000;107.9600000;108.0200000;809295
28/12/15;000000;107.5700000;107.6700000;106.1900000;106.8200000;1627408
29/12/15;000000;106.9700000;109.4300000;106.9400000;108.7100000;2249535
30/12/15;000000;108.5900000;108.6800000;107.1900000;107.3100000;1460546
31/12/15;000000;107.0200000;107.0200000;104.8200000;105.4000000;2732560
04/01/16;000000;102.4800000;105.3600000;102.0000000;105.3400000;3891905
05/01/16;000000;105.7500000;105.7800000;102.4200000;102.7100000;3225980
06/01/16;000000;100.4800000;102.3600000;99.8700000;100.6700000;4340198
07/01/16;000000;98.6900000;100.1200000;96.4400000;96.4800000;4703327
08/01/16;000000;98.4300000;99.1000000;96.7600000;97.0200000;5032036
11/01/16;000000;99.0600000;99.0600000;97.3400000;98.5400000;3494453
12/01/16;000000;100.4900000;100.6900000;98.8400000;100.0800000;3244718
13/01/16;000000;100.5400000;101.1900000;97.3300000;97.3900000;4188749
14/01/16;000000;97.8700000;100.4800000;95.7800000;99.5200000;2984417
15/01/16;000000;96.2000000;97.7000000;95.3700000;97.0300000;4234236
19/01/16;000000;98.4000000;98.6400000;95.5000000;96.6700000;3456298
20/01/16;000000;95.1000000;98.1800000;93.4200000;96.8400000;4911589
21/01/16;000000;97.1200000;97.8800000;94.9500000;96.2800000;3244754
22/01/16;000000;98.5600000;101.4600000;98.3800000;101.4300000;4580680
25/01/16;000000;101.5300000;101.5300000;99.3250000;99.4400000;2831418
26/01/16;000000;99.9300000;100.8800000;98.0800000;100.0200000;4176713
27/01/16;000000;96.0900000;96.6200000;93.3550000;93.4100000;7324869
28/01/16;000000;94.2000000;94.5100000;92.4000000;94.0700000;3305048
29/01/16;000000;94.6400000;97.2200000;94.5300000;97.1300000;4182340
01/02/16;000000;96.4600000;96.7050000;95.4100000;96.4000000;2339747
02/02/16;000000;95.4100000;96.0400000;94.2900000;94.4700000;2567432
03/02/16;000000;94.9300000;96.8400000;94.1100000;96.2900000;2672091
05/02/16;000000;94.7650000;94.9100000;93.6900000;93.8100000;1399201
08/02/16;000000;93.2400000;95.6900000;93.0500000;95.0400000;4091606
09/02/16;000000;94.3000000;95.9400000;93.9400000;95.0100000;3800702
10/02/16;000000;95.9200000;96.3500000;94.1000000;94.2700000;3852638
11/02/16;000000;93.7200000;94.6800000;92.5900000;93.6500000;4624489
12/02/16;000000;94.1800000;94.4900000;93.0200000;93.9800000;3365821
16/02/16;000000;95.0100000;96.8500000;94.6200000;96.5100000;3578459
17/02/16;000000;96.6700000;98.2100000;96.1600000;98.0500000;3298445
18/02/16;000000;98.8400000;98.8400000;96.1000000;96.2500000;3033918
19/02/16;000000;96.0200000;96.7500000;95.8100000;96.0300000;2758440
22/02/16;000000;96.2800000;96.8900000;95.9300000;96.8900000;2874056
23/02/16;000000;96.3800000;96.4900000;94.5500000;94.6900000;2270572
24/02/16;000000;93.9800000;96.3800000;93.3300000;96.1000000;2965215
25/02/16;000000;96.1800000;96.7500000;95.2600000;96.7500000;1957396
26/02/16;000000;97.1900000;98.0200000;96.5800000;96.9000000;2446539
29/02/16;000000;96.8700000;98.2300000;96.6500000;96.6600000;2411711
01/03/16;000000;97.6600000;100.7650000;97.4200000;100.5300000;3985135
02/03/16;000000;100.5200000;100.8900000;99.6500000;100.7300000;2261116
03/03/16;000000;100.5500000;101.7000000;100.4500000;101.4600000;2611150
04/03/16;000000;102.3800000;103.7400000;101.3800000;103.0300000;3448001
07/03/16;000000;102.5300000;102.8300000;100.9700000;101.8100000;2619778
08/03/16;000000;100.8300000;101.7600000;100.4000000;101.0500000;2153752
09/03/16;000000;101.3400000;101.5800000;100.2800000;101.0900000;1968582
10/03/16;000000;101.6200000;102.2400000;100.1500000;101.1700000;2586869
11/03/16;000000;102.2500000;102.2700000;101.5000000;102.2300000;1904851
14/03/16;000000;101.9500000;102.9100000;101.8000000;102.5200000;1550246
15/03/16;000000;103.9500000;105.1750000;103.8600000;104.5700000;2547120
16/03/16;000000;104.6200000;106.3100000;104.6000000;105.9600000;2608894
17/03/16;000000;105.4600000;106.4600000;104.9700000;105.8100000;1802091
18/03/16;000000;106.4200000;106.4700000;105.2000000;105.9300000;1964307
21/03/16;000000;105.3100000;105.9300000;105.1900000;105.8300000;5800
22/03/16;000000;105.2200000;107.2900000;105.2200000;106.7400000;2066234
23/03/16;000000;106.4700000;107.0700000;105.9100000;106.1100000;1700188
24/03/16;000000;105.5800000;106.2200000;104.8900000;105.6500000;1680859
28/03/16;000000;106.0100000;106.1900000;105.0700000;105.2000000;1415314
29/03/16;000000;104.9600000;107.7800000;104.9500000;107.6800000;2046222
30/03/16;000000;108.6400000;110.4100000;108.6000000;109.5900000;2904502
31/03/16;000000;109.7300000;109.9000000;108.8800000;108.9800000;1539938
01/04/16;000000;108.8300000;110.0000000;108.2000000;109.9900000;1759221
04/04/16;000000;110.4500000;112.1800000;110.3000000;111.0800000;2267562
05/04/16;000000;109.5900000;110.7300000;109.4300000;109.8000000;1816856
06/04/16;000000;110.2200000;110.9800000;109.2000000;110.9500000;1631562
07/04/16;000000;110.0500000;110.2500000;108.1300000;108.5600000;2155049
08/04/16;000000;108.9100000;109.7700000;108.1700000;108.6400000;1701698
11/04/16;000000;108.9200000;110.6100000;108.8400000;109.0400000;1731129
12/04/16;000000;109.4300000;110.5000000;108.6700000;110.4500000;1660706
13/04/16;000000;110.9800000;112.3400000;110.8700000;112.0500000;1943354
14/04/16;000000;111.6200000;112.3900000;111.3400000;112.1000000;1523781
15/04/16;000000;112.1100000;112.2800000;109.7400000;109.8100000;2890516
18/04/16;000000;108.8800000;108.9500000;106.9400000;107.4100000;2407943
19/04/16;000000;107.8700000;107.9100000;106.2500000;106.9500000;2070354
20/04/16;000000;106.6400000;108.0700000;106.0700000;107.1400000;1947318
21/04/16;000000;106.9300000;106.9300000;105.5250000;105.9900000;2059539
22/04/16;000000;105.0100000;106.4800000;104.6300000;105.6700000;2151938
